class,scorer,epoch,AUROC
ToyConveyor,cos-residual,30,59.81
ToyConveyor,cos-residual,32,60.071
ToyConveyor,cos-residual,34,59.673
ToyConveyor,cos-residual,36,59.995
ToyConveyor,cos-residual,38,59.77
ToyConveyor,cos-residual,40,59.577
ToyConveyor,cos-residual,42,59.752
ToyConveyor,cos-residual,44,59.612
ToyConveyor,cos-residual,46,59.823
ToyConveyor,cos-residual,48,59.49
ToyConveyor,cos-residual,50,59.766
ToyConveyor,student-maha,2,58.712
ToyConveyor,student-maha,4,60.528
ToyConveyor,student-maha,6,61.112
ToyConveyor,student-maha,8,60.709
ToyConveyor,student-maha,10,61.781
ToyConveyor,student-maha,12,62.293
ToyConveyor,student-maha,14,62.446
ToyConveyor,student-maha,16,63.364
ToyConveyor,student-maha,18,63.586
ToyConveyor,student-maha,20,64.14
ToyConveyor,student-maha,22,63.993
ToyConveyor,student-maha,24,64.207
ToyConveyor,student-maha,26,64.651
ToyConveyor,student-maha,28,64.34
ToyConveyor,student-maha,30,64.983
ToyConveyor,student-maha,32,64.289
ToyConveyor,student-maha,34,64.651
ToyConveyor,student-maha,36,64.799
ToyConveyor,student-maha,38,64.48
ToyConveyor,student-maha,40,65.437
ToyConveyor,student-maha,42,65.202
ToyConveyor,student-maha,44,65.264
ToyConveyor,student-maha,46,65.215
ToyConveyor,student-maha,48,65.13
ToyConveyor,student-maha,50,64.988
ToyConveyor,student-knn,2,56.179
ToyConveyor,student-knn,4,56.821
ToyConveyor,student-knn,6,56.969
ToyConveyor,student-knn,8,57.942
ToyConveyor,student-knn,10,58.997
ToyConveyor,student-knn,12,58.455
ToyConveyor,student-knn,14,59.042
ToyConveyor,student-knn,16,59.558
ToyConveyor,student-knn,18,59.822
ToyConveyor,student-knn,20,60.011
ToyConveyor,student-knn,22,60.138
ToyConveyor,student-knn,24,60.677
ToyConveyor,student-knn,26,61.355
ToyConveyor,student-knn,28,61.355
ToyConveyor,student-knn,30,61.837
ToyConveyor,student-knn,32,61.609
ToyConveyor,student-knn,34,61.784
ToyConveyor,student-knn,36,61.869
ToyConveyor,student-knn,38,61.606
ToyConveyor,student-knn,40,62.142
ToyConveyor,student-knn,42,62.167
ToyConveyor,student-knn,44,62.193
ToyConveyor,student-knn,46,62.201
ToyConveyor,student-knn,48,62.193
ToyConveyor,student-knn,50,62.068
