class,scan,epoch,AUROC
ToyCar,zorder,6,65.645
ToyCar,zorder,8,67.309
ToyCar,zorder,10,68.312
ToyCar,zorder,12,68.844
ToyCar,zorder,14,69.432
ToyCar,zorder,16,70.934
ToyCar,zorder,18,71.077
ToyCar,zorder,20,71.813
ToyCar,zorder,22,72.432
ToyCar,zorder,24,72.105
ToyCar,zorder,26,72.168
ToyCar,zorder,28,72.62
ToyCar,zorder,30,72.428
ToyCar,zorder,32,71.766
ToyCar,zorder,34,71.718
ToyCar,zorder,36,72.643
ToyCar,zorder,38,72.872
ToyCar,zorder,40,74.0
ToyCar,zorder,42,73.939
ToyCar,zorder,44,74.165
ToyCar,zorder,46,74.144
ToyCar,zorder,48,74.07
ToyCar,zorder,50,74.185
ToyCar,scan,2,65.246
ToyCar,scan,4,66.804
ToyCar,scan,6,67.833
ToyCar,scan,8,68.254
ToyCar,scan,10,68.566
ToyCar,scan,12,69.401
ToyCar,scan,14,70.337
ToyCar,scan,16,70.913
ToyCar,scan,18,70.984
ToyCar,scan,20,71.468
ToyCar,scan,22,72.545
ToyCar,scan,24,72.663
ToyCar,scan,26,72.489
ToyCar,scan,28,73.751
ToyCar,scan,30,73.053
ToyCar,scan,32,73.049
ToyCar,scan,34,73.1
ToyCar,scan,36,73.934
ToyCar,scan,38,74.109
ToyCar,scan,40,75.17
ToyCar,scan,42,75.133
ToyCar,scan,44,75.291
ToyCar,scan,46,75.239
ToyCar,scan,48,75.279
ToyCar,scan,50,75.063
ToyCar,sweep,2,59.99
ToyCar,sweep,4,63.483
ToyCar,sweep,6,64.976
ToyCar,sweep,8,66.564
ToyCar,sweep,10,65.753
ToyCar,sweep,12,66.48
ToyCar,sweep,14,66.943
ToyCar,sweep,16,68.515
ToyCar,sweep,18,68.796
ToyCar,sweep,20,70.471
ToyCar,sweep,22,71.595
ToyCar,sweep,24,71.132
ToyCar,sweep,26,71.851
ToyCar,sweep,28,72.621
ToyCar,sweep,30,72.896
ToyCar,sweep,32,72.931
ToyCar,sweep,34,72.719
ToyCar,sweep,36,73.193
ToyCar,sweep,38,73.357
ToyCar,sweep,40,74.843
ToyCar,sweep,42,74.671
ToyCar,sweep,44,74.807
ToyCar,sweep,46,74.715
ToyCar,sweep,48,74.65
ToyCar,sweep,50,74.631
ToyCar,zigzag,2,64.366
ToyCar,zigzag,4,66.725
ToyCar,zigzag,6,68.016
ToyCar,zigzag,8,68.193
ToyCar,zigzag,10,68.577
ToyCar,zigzag,12,69.636
ToyCar,zigzag,14,69.291
ToyCar,zigzag,16,69.683
ToyCar,zigzag,18,69.607
ToyCar,zigzag,20,70.507
ToyCar,zigzag,22,72.215
ToyCar,zigzag,24,71.735
ToyCar,zigzag,26,71.903
ToyCar,zigzag,28,72.775
ToyCar,zigzag,30,71.922
ToyCar,zigzag,32,72.358
ToyCar,zigzag,34,72.191
ToyCar,zigzag,36,72.952
ToyCar,zigzag,38,73.826
ToyCar,zigzag,40,75.151
ToyCar,zigzag,42,74.788
ToyCar,zigzag,44,75.103
ToyCar,zigzag,46,74.991
ToyCar,zigzag,48,74.867
ToyCar,zigzag,50,74.748
ToyConveyor,hilbert,2,58.712
ToyConveyor,hilbert,4,60.528
ToyConveyor,hilbert,6,61.112
ToyConveyor,hilbert,8,60.709
ToyConveyor,hilbert,10,61.781
ToyConveyor,hilbert,12,62.293
ToyConveyor,hilbert,14,62.446
ToyConveyor,hilbert,16,63.364
ToyConveyor,hilbert,18,63.586
ToyConveyor,hilbert,20,64.141
ToyConveyor,hilbert,22,63.993
ToyConveyor,hilbert,24,64.207
ToyConveyor,hilbert,26,64.651
ToyConveyor,hilbert,28,64.34
ToyConveyor,hilbert,30,64.983
ToyConveyor,hilbert,32,64.289
ToyConveyor,hilbert,34,64.651
ToyConveyor,hilbert,36,64.799
ToyConveyor,hilbert,38,64.48
ToyConveyor,hilbert,40,65.437
ToyConveyor,hilbert,42,65.202
ToyConveyor,hilbert,44,65.264
ToyConveyor,hilbert,46,65.215
ToyConveyor,hilbert,48,65.13
ToyConveyor,hilbert,50,64.988
ToyConveyor,zorder,2,57.378
ToyConveyor,zorder,4,60.388
ToyConveyor,zorder,6,60.505
ToyConveyor,zorder,8,61.146
ToyConveyor,zorder,10,62.95
ToyConveyor,zorder,12,62.186
ToyConveyor,zorder,14,62.456
ToyConveyor,zorder,16,63.131
ToyConveyor,zorder,18,63.279
ToyConveyor,zorder,20,63.473
ToyConveyor,zorder,22,63.918
ToyConveyor,zorder,24,64.028
ToyConveyor,zorder,26,64.042
ToyConveyor,zorder,28,64.122
ToyConveyor,zorder,30,64.252
ToyConveyor,zorder,32,64.195
ToyConveyor,zorder,34,64.399
ToyConveyor,zorder,36,64.443
ToyConveyor,zorder,38,64.645
ToyConveyor,zorder,40,65.344
ToyConveyor,zorder,42,65.098
ToyConveyor,zorder,44,65.28
ToyConveyor,zorder,46,65.054
ToyConveyor,zorder,48,65.015
ToyConveyor,zorder,50,64.911
ToyConveyor,scan,2,59.534
ToyConveyor,scan,4,60.5
ToyConveyor,scan,6,61.283
ToyConveyor,scan,8,60.711
ToyConveyor,scan,10,61.269
ToyConveyor,scan,12,62.057
ToyConveyor,scan,14,62.328
ToyConveyor,scan,16,63.162
ToyConveyor,scan,18,63.52
ToyConveyor,scan,20,64.086
ToyConveyor,scan,22,64.291
ToyConveyor,scan,24,64.489
ToyConveyor,scan,26,64.326
ToyConveyor,scan,28,64.673
ToyConveyor,scan,30,63.863
ToyConveyor,scan,32,64.868
ToyConveyor,scan,34,64.961
ToyConveyor,scan,36,65.505
ToyConveyor,scan,38,64.772
ToyConveyor,scan,40,65.362
ToyConveyor,scan,42,65.256
ToyConveyor,scan,44,65.318
ToyConveyor,scan,46,65.131
ToyConveyor,scan,48,65.114
ToyConveyor,scan,50,64.99
ToyConveyor,sweep,2,55.654
ToyConveyor,sweep,4,59.507
ToyConveyor,sweep,6,59.92
ToyConveyor,sweep,8,60.759
ToyConveyor,sweep,10,60.698
ToyConveyor,sweep,12,60.264
ToyConveyor,sweep,14,61.361
ToyConveyor,sweep,16,62.101
ToyConveyor,sweep,18,62.821
ToyConveyor,sweep,20,62.86
ToyConveyor,sweep,22,63.212
ToyConveyor,sweep,24,63.627
ToyConveyor,sweep,26,63.382
ToyConveyor,sweep,28,63.737
ToyConveyor,sweep,30,64.535
ToyConveyor,sweep,32,64.283
ToyConveyor,sweep,34,64.559
ToyConveyor,sweep,36,64.983
ToyConveyor,sweep,38,64.201
ToyConveyor,sweep,40,65.214
ToyConveyor,sweep,42,65.165
ToyConveyor,sweep,44,65.331
ToyConveyor,sweep,46,65.346
ToyConveyor,sweep,48,65.123
ToyConveyor,sweep,50,65.077
ToyConveyor,zigzag,2,60.774
ToyConveyor,zigzag,4,62.386
ToyConveyor,zigzag,6,62.106
ToyConveyor,zigzag,8,62.149
